state,SA3_code,SA3_name,year_start,year_close,age,num_registered,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,Remoteness ,State,Latitude,Longitude
QLD,30905,Mudgeeraba - Tallebudgera,2016,2017,1,403,366,37,90.8,Major Cities of Australia,Queensland,-28.16168933,153.3699733
QLD,30906,Nerang,2016,2017,1,929,872,57,93.9,Major Cities of Australia,Queensland,-28.00241601,153.3191457
QLD,30907,Ormeau - Oxenford,2016,2017,1,1952,1834,118,94,Major Cities of Australia,Queensland,-27.81266469,153.3016813
QLD,30908,Robina,2016,2017,1,584,552,32,94.5,Major Cities of Australia,Queensland,-28.06527468,153.3919744
QLD,30909,Southport,2016,2017,1,627,590,37,94.1,Major Cities of Australia,Queensland,-27.97334511,153.3803198
QLD,30910,Surfers Paradise,2016,2017,1,374,343,31,91.7,Major Cities of Australia,Queensland,-27.99855693,153.4073103
QLD,31001,Forest Lake - Oxley,2016,2017,1,1163,1106,57,95.1,Major Cities of Australia,Queensland,-27.59078483,152.9525858
QLD,31002,Ipswich Hinterland,2016,2017,1,718,684,34,95.3,Inner Regional Australia,Queensland,-27.60962264,152.5263615
QLD,31003,Ipswich Inner,2016,2017,1,1639,1565,74,95.5,Major Cities of Australia,Queensland,-27.61294471,152.7857462
QLD,31004,Springfield - Redbank,2016,2017,1,1660,1573,87,94.8,Major Cities of Australia,Queensland,-27.64375011,152.8832809
QLD,31101,Beaudesert,2016,2017,1,147,137,10,93.2,Inner Regional Australia,Queensland,-28.13764126,152.9192408
QLD,31102,Beenleigh,2016,2017,1,692,642,50,92.8,Major Cities of Australia,Queensland,-27.73266258,153.1892544
QLD,31103,Browns Plains,2016,2017,1,1393,1303,90,93.5,Major Cities of Australia,Queensland,-27.70041534,153.037683
QLD,31104,Jimboomba,2016,2017,1,552,522,30,94.6,Major Cities of Australia,Queensland,-27.81001009,152.99354
QLD,31105,Loganlea - Carbrook,2016,2017,1,891,825,66,92.6,Major Cities of Australia,Queensland,-27.67480078,153.1916835
QLD,31106,Springwood - Kingston,2016,2017,1,1409,1315,94,93.3,Major Cities of Australia,Queensland,-27.62800536,153.1317897
QLD,31201,Bowen Basin - North,2016,2017,1,534,517,17,96.8,Outer Regional Australia,Queensland,-21.84474016,147.8200506
QLD,31202,Mackay,2016,2017,1,1617,1550,67,95.9,Inner Regional Australia,Queensland,-21.13923845,148.8036423
QLD,31203,Whitsunday,2016,2017,1,247,233,14,94.3,Outer Regional Australia,Queensland,-20.38874477,148.561529
QLD,31301,Bribie - Beachmere,2016,2017,1,283,268,15,94.7,Inner Regional Australia,Queensland,-27.02163001,153.1055586
QLD,31302,Caboolture,2016,2017,1,981,937,44,95.5,Major Cities of Australia,Queensland,-27.0457221,152.9406891
